nombre,sub_category,latitud,longitud,distance,city,category,ponder,geometry
BUDDENBOHM & SOEHNE,Tech Startup,53.55681579966773,10.00686866259398,262,Hamburg,Tech Startup,0.04,POINT (10.00686866259398 53.55681579966773)
Interactive Pioneers Nordfront,Tech Startup,53.55857867184783,10.008860238438196,437,Hamburg,Tech Startup,0.04,POINT (10.0088602384382 53.55857867184783)
campa group,Tech Startup,53.554837,9.990208,869,Hamburg,Tech Startup,0.04,POINT (9.990208000000001 53.554837)
tagnewmedia,Tech Startup,53.54933439014154,9.999510475363957,868,Hamburg,Tech Startup,0.04,POINT (9.999510475363957 53.54933439014154)
Spryker,Tech Startup,53.552316,10.004468,517,Hamburg,Tech Startup,0.04,POINT (10.004468 53.552316)
Dynport,Tech Startup,53.554424,9.987635,1045,Hamburg,Tech Startup,0.04,POINT (9.987634999999999 53.554424)
Joblift,Tech Startup,53.548344,9.995614,1064,Hamburg,Tech Startup,0.04,POINT (9.995614 53.548344)
red6 enterprise software GmbH,Tech Startup,53.562688416041965,9.99589975624077,795,Hamburg,Tech Startup,0.04,POINT (9.995899756240769 53.56268841604196)
Publicis Pixelpark,Advertising Agency,53.554099396912804,9.989048874395403,966,Hamburg,Tech Startup,0.04,POINT (9.989048874395403 53.5540993969128)
Starbucks,Coffee Shop,53.552863,10.005558,479,Hamburg,Coffee Shop,0.07,POINT (10.005558 53.552863)
Starbucks,Coffee Shop,53.55506782558954,9.990986279762279,813,Hamburg,Coffee Shop,0.07,POINT (9.990986279762279 53.55506782558954)
Starbucks,Coffee Shop,53.55125630451121,10.000930394719328,638,Hamburg,Coffee Shop,0.07,POINT (10.00093039471933 53.55125630451121)
Starbucks,Coffee Shop,53.551692837684364,9.995605945587158,751,Hamburg,Coffee Shop,0.07,POINT (9.995605945587158 53.55169283768436)
Hamburg Hauptbahnhof,Train Station,53.55271266099564,10.006946325302124,534,Hamburg,Train Station,0.08,POINT (10.00694632530212 53.55271266099564)
Gleis 7/8,Platform,53.55250281378347,10.007038082301793,558,Hamburg,Train Station,0.08,POINT (10.00703808230179 53.55250281378347)
